timeframe,split,model,MSE,MAE,RMSE,R2,sMAPE
1m,train,Prophet Only,216.805343795503,10.453322124989004,14.724311318207823,0.7876949999251973,43.44059241641832
1m,train,Hybrid (Prophet+LSTM),196.2273090197497,10.00928015341337,14.008115826896553,0.8078458854989699,42.644272418288544
1m,valid,Prophet Only,170.12280639217144,9.887702712819415,13.043113370364127,0.6452384904116472,35.5365147272557
1m,valid,Hybrid (Prophet+LSTM),148.95321731052888,9.341272686747091,12.204639171664555,0.6893839847121351,34.34298632078923
1m,test,Prophet Only,202.51798959794652,10.676161346308549,14.230881546761132,0.7202159741547425,32.129744319658194
1m,test,Hybrid (Prophet+LSTM),182.2733212539457,10.16506076245943,13.500863722515893,0.7481845256025987,31.19554930853437
5m,train,Prophet Only,2905.9962842898162,37.231904315395084,53.9072934238941,0.8715514116240088,38.38662371029219
5m,train,Hybrid (Prophet+LSTM),2611.235154791673,35.68253207355606,51.100246132398155,0.8845802138963429,38.61033429806268
5m,valid,Prophet Only,1997.7016587645055,33.18638424840586,44.69565592722078,0.7852860575624117,23.007652412505212
5m,valid,Hybrid (Prophet+LSTM),1748.3388513255068,31.032215348394384,41.813142088648476,0.8120876929555794,22.035676617031953
5m,test,Prophet Only,2411.1300670735886,37.13662890028546,49.103259230661955,0.8374192409109223,21.753601598338747
5m,test,Hybrid (Prophet+LSTM),2057.489337305539,33.974421383507035,45.35955618505916,0.8612649799175647,20.14510003917954
15m,train,Prophet Only,22827.36848574025,102.91135643762986,151.08728763777663,0.8823984839781854,37.99917677877552
15m,train,Hybrid (Prophet+LSTM),19393.047621005517,96.67316159577302,139.25892294932314,0.9000913398345427,37.53893464241397
15m,valid,Prophet Only,14024.741547796792,94.29729367762968,118.42610163218576,0.8117793609447967,21.223091744775594
15m,valid,Hybrid (Prophet+LSTM),9438.377461725655,73.570213709316,97.15131219765205,0.8733311817949824,17.3366571475565
15m,test,Prophet Only,25434.1731058941,124.18223702701576,159.48094903747625,0.7954252707131733,23.364166444345486
15m,test,Hybrid (Prophet+LSTM),16443.020010074735,96.01276293130637,128.2303396629469,0.867743828226152,18.065643207992327
