timeframe,split,model,MSE,MAE,RMSE,R2,sMAPE
1m,train,Prophet Only,197.74017537249733,9.847882314801572,14.062011782547238,0.8116728658551664,50.8498998798373
1m,train,Hybrid (Prophet+LSTM),193.10628487566703,9.814004771996618,13.896268739329527,0.8160861688957098,50.42167056790666
1m,valid,Prophet Only,164.16973749120243,9.786988297013611,12.812873896640145,0.6576525797085448,34.92155471737492
1m,valid,Hybrid (Prophet+LSTM),148.02778883121553,9.296519103273328,12.166667120917525,0.6913138047715365,33.67968047740572
1m,test,Prophet Only,196.98807718346447,10.661247832455656,14.035244108438745,0.7278556962405041,31.729504174999107
1m,test,Hybrid (Prophet+LSTM),176.0149746538105,10.092374268898464,13.267063527917943,0.7568305990225305,30.506732412708242
5m,train,Prophet Only,2478.318708929668,34.26829772157856,49.78271496141676,0.8923399166780186,41.89974340461893
5m,train,Hybrid (Prophet+LSTM),2446.96972231141,34.26198541038962,49.46685478491037,0.8937017409257316,42.05056317798517
5m,valid,Prophet Only,1905.1359065616168,32.4762441189143,43.64786256578456,0.7952350694696626,22.523461398339528
5m,valid,Hybrid (Prophet+LSTM),1705.745381255795,30.69893142480182,41.30067046980951,0.8166656597609037,21.664174931406762
5m,test,Prophet Only,2220.3842132636146,35.599166052086396,47.12095301735327,0.8502810960754423,20.875511161603306
5m,test,Hybrid (Prophet+LSTM),1927.8839840904745,32.87770205650866,43.90767568535682,0.870004175283034,19.403292708820725
15m,train,Prophet Only,15965.602737986876,87.94277303503667,126.35506613502632,0.9189286003840866,38.734829820167484
15m,train,Hybrid (Prophet+LSTM),15525.310051644286,86.52188281047111,124.60060213194913,0.9211643533906121,38.42437640185983
15m,valid,Prophet Only,10028.769601701222,77.55614549844466,100.14374469581823,0.8654077569318106,17.701899695868182
15m,valid,Hybrid (Prophet+LSTM),8969.129650461417,72.93234857959905,94.70548901970474,0.8796287754162556,16.773488739261488
15m,test,Prophet Only,14903.19260014768,86.75351136456807,122.07863285664564,0.8801291247413063,16.19132243625089
15m,test,Hybrid (Prophet+LSTM),12965.336792079373,81.59284999334501,113.86543282348411,0.895715883771448,15.323295731024068
