time,timestamp,predicted_load,actual_load,forecast_error,pods_before,pods_after,scaling_action,reason,cpu_utilization,sla_breached_before,scenario,strategy
0,0,841.4038001260583,1135.0,293.5961998739417,5,6,1,utilization=168.28%,1.4023396668767638,True,PREDICTED_15M,REACTIVE
1,1,1143.821981626969,1209.0,65.17801837303091,6,6,0,utilization=190.64%,1.9063699693782818,True,PREDICTED_15M,REACTIVE
2,2,1193.2300546054696,1116.0,-77.2300546054696,6,6,0,utilization=198.87%,1.9887167576757827,True,PREDICTED_15M,REACTIVE
3,3,1069.8842159389003,970.0,-99.8842159389003,6,6,0,utilization=178.31%,1.7831403598981672,True,PREDICTED_15M,REACTIVE
4,4,1022.0035516959932,1025.0,2.996448304006776,6,6,0,utilization=170.33%,1.7033392528266553,True,PREDICTED_15M,REACTIVE
5,5,1001.6638895081712,914.0,-87.66388950817111,6,6,0,utilization=166.94%,1.6694398158469521,True,PREDICTED_15M,REACTIVE
6,6,934.4046145168306,851.0,-83.40461451683063,6,7,1,utilization=155.73%,1.3348637350240438,True,PREDICTED_15M,REACTIVE
7,7,902.6438810593726,1085.0,182.35611894062745,7,7,0,utilization=128.95%,1.2894912586562466,True,PREDICTED_15M,REACTIVE
8,8,1047.564500990863,1004.0,-43.56450099086305,7,7,0,utilization=149.65%,1.496520715701233,True,PREDICTED_15M,REACTIVE
9,9,993.4876530782018,1226.0,232.5123469217982,7,7,0,utilization=141.93%,1.4192680758260026,True,PREDICTED_15M,REACTIVE
10,10,1104.1839311297229,1064.0,-40.18393112972285,7,7,0,utilization=157.74%,1.5774056158996042,True,PREDICTED_15M,REACTIVE
11,11,1050.343599187933,953.0,-97.34359918793302,7,7,0,utilization=150.05%,1.5004908559827614,True,PREDICTED_15M,REACTIVE
12,12,918.1845978083574,1229.0,310.81540219164265,7,8,1,utilization=131.17%,1.1477307472604468,True,PREDICTED_15M,REACTIVE
13,13,1071.2201117560194,1317.0,245.77988824398065,8,8,0,utilization=133.90%,1.3390251396950241,True,PREDICTED_15M,REACTIVE
14,14,1036.4877251758862,786.0,-250.48772517588625,8,8,0,utilization=129.56%,1.2956096564698578,True,PREDICTED_15M,REACTIVE
15,15,928.3200582650578,1032.0,103.6799417349422,8,8,0,utilization=116.04%,1.1604000728313222,True,PREDICTED_15M,REACTIVE
16,16,909.1834209812564,925.0,15.816579018743596,8,8,0,utilization=113.65%,1.1364792762265705,True,PREDICTED_15M,REACTIVE
17,17,829.2531602785808,645.0,-184.2531602785808,8,8,0,utilization=103.66%,1.036566450348226,True,PREDICTED_15M,REACTIVE
18,18,727.0124873501603,729.0,1.987512649839687,8,9,1,utilization=90.88%,0.8077916526112893,False,PREDICTED_15M,REACTIVE
19,19,806.1781694771872,776.0,-30.178169477187225,9,9,0,utilization=89.58%,0.8957535216413192,False,PREDICTED_15M,REACTIVE
20,20,743.9749998925793,622.0,-121.97499989257926,9,9,0,utilization=82.66%,0.8266388887695325,False,PREDICTED_15M,REACTIVE
21,21,687.856481295413,615.0,-72.856481295413,9,9,0,utilization=76.43%,0.7642849792171256,False,PREDICTED_15M,REACTIVE
22,22,682.493768699312,579.0,-103.493768699312,9,9,0,utilization=75.83%,0.7583264096659023,False,PREDICTED_15M,REACTIVE
23,23,597.1849361462998,703.0,105.81506385370017,9,9,0,utilization=66.35%,0.6635388179403332,False,PREDICTED_15M,REACTIVE
24,24,644.1295710420892,679.0,34.8704289579108,9,10,1,utilization=71.57%,0.6441295710420892,False,PREDICTED_15M,REACTIVE
25,25,653.2234544425771,404.0,-249.22345444257712,10,10,0,utilization=65.32%,0.6532234544425771,False,PREDICTED_15M,REACTIVE
26,26,527.7442244043763,418.0,-109.74422440437628,10,10,0,utilization=52.77%,0.5277442244043763,False,PREDICTED_15M,REACTIVE
27,27,526.4356108355745,559.0,32.564389164425506,10,10,0,utilization=52.64%,0.5264356108355744,False,PREDICTED_15M,REACTIVE
28,28,570.0945792385432,685.0,114.90542076145675,10,10,0,utilization=57.01%,0.5700945792385432,False,PREDICTED_15M,REACTIVE
29,29,622.5871687933885,444.0,-178.5871687933885,10,10,0,utilization=62.26%,0.6225871687933885,False,PREDICTED_15M,REACTIVE
30,30,529.8254625974399,581.0,51.17453740256008,10,10,0,utilization=52.98%,0.5298254625974399,False,PREDICTED_15M,REACTIVE
31,31,637.1532399349093,300.0,-337.15323993490927,10,10,0,utilization=63.72%,0.6371532399349092,False,PREDICTED_15M,REACTIVE
32,32,462.17913678608943,549.0,86.82086321391057,10,10,0,utilization=46.22%,0.4621791367860894,False,PREDICTED_15M,REACTIVE
33,33,558.1900258998697,439.0,-119.19002589986974,10,10,0,utilization=55.82%,0.5581900258998698,False,PREDICTED_15M,REACTIVE
34,34,485.7771134083418,534.0,48.22288659165821,10,10,0,utilization=48.58%,0.4857771134083418,False,PREDICTED_15M,REACTIVE
35,35,530.5190644425367,567.0,36.48093555746334,10,10,0,utilization=53.05%,0.5305190644425367,False,PREDICTED_15M,REACTIVE
36,36,545.2370215406431,516.0,-29.237021540643127,10,10,0,utilization=54.52%,0.5452370215406431,False,PREDICTED_15M,REACTIVE
37,37,513.1473892627774,487.0,-26.14738926277744,10,10,0,utilization=51.31%,0.5131473892627775,False,PREDICTED_15M,REACTIVE
38,38,508.7471599503552,398.0,-110.74715995035524,10,10,0,utilization=50.87%,0.5087471599503551,False,PREDICTED_15M,REACTIVE
39,39,491.8195738058634,435.0,-56.8195738058634,10,10,0,utilization=49.18%,0.4918195738058634,False,PREDICTED_15M,REACTIVE
40,40,459.2443490547769,510.0,50.75565094522307,10,10,0,utilization=45.92%,0.4592443490547769,False,PREDICTED_15M,REACTIVE
